ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
MDA,TF-IDF,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
FDA,TF-IDF,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
Tree,TF-IDF,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
RF,TF-IDF,14925,NA,No,Yes,Yes,0,NA,NA,NA,NA
LogisticRegression,TF-IDF,4816,34845.8004,No,Yes,Yes,5,0.5603,0.5665,0.527,0.5939
LDA,TF-IDF,4816,2389.8426,No,Yes,Yes,5,0.5696,0.5762,0.5374,0.602
QDA,TF-IDF,4816,NA,No,Yes,Yes,5,NA,NA,NA,NA
MDA,TF-IDF,4816,NA,No,Yes,Yes,5,NA,NA,NA,NA
FDA,TF-IDF,4816,NA,No,Yes,Yes,5,NA,NA,NA,NA
Tree,TF-IDF,4816,NA,No,Yes,Yes,5,NA,NA,NA,NA
RF,TF-IDF,4816,NA,No,Yes,Yes,5,NA,NA,NA,NA
LogisticRegression,TF-IDF,1234,716.7594,No,Yes,Yes,30,0.6181,0.6151,0.6011,0.6346
LDA,TF-IDF,1234,203.53116,No,Yes,Yes,30,0.6201,0.6183,0.5987,0.6409
QDA,TF-IDF,1234,NA,No,Yes,Yes,30,NA,NA,NA,NA
MDA,TF-IDF,1234,NA,No,Yes,Yes,30,NA,NA,NA,NA
FDA,TF-IDF,1234,NA,No,Yes,Yes,30,NA,NA,NA,NA
Tree,TF-IDF,1234,NA,No,Yes,Yes,30,NA,NA,NA,NA
RF,TF-IDF,1234,NA,No,Yes,Yes,30,NA,NA,NA,NA
LogisticRegression,TF-IDF,669,160.49316,No,Yes,Yes,60,0.6158,0.6291,0.5856,0.6466
LDA,TF-IDF,669,66.91686,No,Yes,Yes,60,0.6126,0.6265,0.5793,0.6466
QDA,TF-IDF,669,NA,No,Yes,Yes,60,NA,NA,NA,NA
MDA,TF-IDF,669,NA,No,Yes,Yes,60,NA,NA,NA,NA
FDA,TF-IDF,669,NA,No,Yes,Yes,60,NA,NA,NA,NA
Tree,TF-IDF,669,NA,No,Yes,Yes,60,NA,NA,NA,NA
RF,TF-IDF,669,NA,No,Yes,Yes,60,NA,NA,NA,NA
LogisticRegression,TF-IDF,15711,NA,No,Yes,No,0,NA,NA,NA,NA
LDA,TF-IDF,15711,NA,No,Yes,No,0,NA,NA,NA,NA
QDA,TF-IDF,15711,NA,No,Yes,No,0,NA,NA,NA,NA
MDA,TF-IDF,15711,NA,No,Yes,No,0,NA,NA,NA,NA
FDA,TF-IDF,15711,NA,No,Yes,No,0,NA,NA,NA,NA
Tree,TF-IDF,15711,NA,No,Yes,No,0,NA,NA,NA,NA
RF,TF-IDF,15711,NA,No,Yes,No,0,NA,NA,NA,NA
LogisticRegression,TF-IDF,5028,48048.3,No,Yes,No,5,0.5673,0.5728,0.54,0.5939
LDA,TF-IDF,5028,2602.6068,No,Yes,No,5,0.5748,0.5821,0.5403,0.6095
QDA,TF-IDF,5028,NA,No,Yes,No,5,NA,NA,NA,NA
MDA,TF-IDF,5028,NA,No,Yes,No,5,NA,NA,NA,NA
