ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
Tree,CBoW768,768,74.6994,No,Yes,No,30,0.5725,0.5619,0.6102,0.5357
RF,CBoW768,768,116792.3232,No,Yes,No,30,0.6126,0.6091,0.602,0.6229
LogisticRegression,CBoW768,768,1732.371,No,Yes,No,60,0.6054,0.5966,0.6207,0.5904
LDA,CBoW768,768,86.20788,No,Yes,No,60,0.6123,0.6041,0.6242,0.6007
QDA,CBoW768,768,NA,No,Yes,No,60,NA,NA,NA,NA
MDA,CBoW768,768,NA,No,Yes,No,60,NA,NA,NA,NA
FDA,CBoW768,768,NA,No,Yes,No,60,NA,NA,NA,NA
Tree,CBoW768,768,73.03872,No,Yes,No,60,0.5782,0.5686,0.6055,0.5516
RF,CBoW768,768,117133.776,No,Yes,No,60,0.6143,0.6114,0.6014,0.6269
LogisticRegression,CBoW768,768,152.45184,No,No,Yes,0,0.6036,0.6046,0.571,0.6355
LDA,CBoW768,768,85.78698,No,No,Yes,0,0.6057,0.6077,0.5687,0.6418
QDA,CBoW768,768,47.18525,No,No,Yes,0,0.6051,0.6482,0.4383,0.7678
MDA,CBoW768,768,806.6268,No,No,Yes,0,0.599,0.6004,0.5628,0.6343
FDA,CBoW768,768,286.1085,No,No,Yes,0,0.6016,0.6017,0.5722,0.6303
Tree,CBoW768,768,72.25044,No,No,Yes,0,0.5904,0.5729,0.6704,0.5123
RF,CBoW768,768,112058.3808,No,No,Yes,0,0.6062,0.6002,0.6072,0.6052
LogisticRegression,CBoW768,768,152.61516,No,No,Yes,5,0.6045,0.6025,0.5856,0.6229
LDA,CBoW768,768,86.56506,No,No,Yes,5,0.6083,0.6066,0.5885,0.6275
QDA,CBoW768,768,47.23202,No,No,Yes,5,0.625,0.6388,0.5541,0.6942
MDA,CBoW768,768,815.5038,No,No,Yes,5,0.6019,0.5995,0.5845,0.6189
FDA,CBoW768,768,288.05484,No,No,Yes,5,0.6074,0.601,0.6102,0.6047
Tree,CBoW768,768,71.7711,No,No,Yes,5,0.5739,0.5741,0.5319,0.6149
RF,CBoW768,768,112445.3664,No,No,Yes,5,0.6158,0.6082,0.6242,0.6075
LogisticRegression,CBoW768,768,152.39262,No,No,Yes,30,0.6162,0.6133,0.6029,0.6292
LDA,CBoW768,768,87.11838,No,No,Yes,30,0.6174,0.6144,0.6047,0.6298
QDA,CBoW768,768,46.71847,No,No,Yes,30,0.6119,0.61,0.5936,0.6298
MDA,CBoW768,768,842.7672,No,No,Yes,30,0.6131,0.6051,0.6228,0.6035
FDA,CBoW768,768,289.54824,No,No,Yes,30,0.5914,0.5818,0.6135,0.5699
Tree,CBoW768,768,73.4961,No,No,Yes,30,0.5836,0.5666,0.6667,0.5026
RF,CBoW768,768,115096.8096,No,No,Yes,30,0.6203,0.6167,0.6105,0.6298
LogisticRegression,CBoW768,768,2907.669,No,No,Yes,60,0.6189,0.6062,0.6513,0.5873
LDA,CBoW768,768,116.92854,No,No,Yes,60,0.6224,0.6153,0.6279,0.617
QDA,CBoW768,768,NA,No,No,Yes,60,NA,NA,NA,NA
MDA,CBoW768,768,NA,No,No,Yes,60,NA,NA,NA,NA
FDA,CBoW768,768,NA,No,No,Yes,60,NA,NA,NA,NA
Tree,CBoW768,768,106.66584,No,No,Yes,60,0.5808,0.5652,0.6542,0.5091
RF,CBoW768,768,151840.1376,No,No,Yes,60,0.6365,0.6384,0.6085,0.6638
LogisticRegression,CBoW768,768,153.53796,No,No,No,0,0.6071,0.6053,0.588,0.6258
LDA,CBoW768,768,86.9103,No,No,No,0,0.6033,0.6018,0.5821,0.6241
QDA,CBoW768,768,47.62287,No,No,No,0,0.6126,0.6576,0.45,0.7712
MDA,CBoW768,768,829.6242,No,No,No,0,0.6019,0.5993,0.5856,0.6178
FDA,CBoW768,768,284.96538,No,No,No,0,0.5967,0.5979,0.5605,0.6321
Tree,CBoW768,768,72.83316,No,No,No,0,0.5855,0.5753,0.6143,0.5573
RF,CBoW768,768,112621.104,No,No,No,0,0.6149,0.608,0.6201,0.6098
LogisticRegression,CBoW768,768,272.85606,No,No,No,5,0.6083,0.6054,0.5944,0.6218
LDA,CBoW768,768,126.81606,No,No,No,5,0.6062,0.6036,0.5909,0.6212
QDA,CBoW768,768,75.555,No,No,No,5,0.6166,0.63,0.5424,0.6891
MDA,CBoW768,768,1409.1444,No,No,No,5,0.601,0.5987,0.5833,0.6184
FDA,CBoW768,768,412.61886,No,No,No,5,0.5996,0.591,0.6148,0.5847
Tree,CBoW768,768,115.9305,No,No,No,5,0.5759,0.5778,0.5254,0.6252
RF,CBoW768,768,155288.5344,No,No,No,5,0.6137,0.6044,0.6312,0.5967
LogisticRegression,CBoW768,768,259.4922,No,No,No,30,0.6299,0.6255,0.6248,0.6349
LDA,CBoW768,768,150.0963,No,No,No,30,0.6276,0.6225,0.6254,0.6298
QDA,CBoW768,768,81.8577,No,No,No,30,0.6181,0.6148,0.6072,0.6286
MDA,CBoW768,768,1389.8988,No,No,No,30,0.6126,0.6061,0.616,0.6092
FDA,CBoW768,768,623.895,No,No,No,30,0.5901,0.577,0.6371,0.5442
Tree,CBoW768,768,104.58012,No,No,No,30,0.5785,0.5608,0.6762,0.4832
RF,CBoW768,768,128096.208,No,No,No,30,0.6149,0.6119,0.6026,0.6269
LogisticRegression,CBoW768,768,3224.7678,No,No,No,60,0.6147,0.6078,0.6199,0.6096
LDA,CBoW768,768,128.7708,No,No,No,60,0.617,0.6102,0.6216,0.6124
QDA,CBoW768,768,NA,No,No,No,60,NA,NA,NA,NA
MDA,CBoW768,768,NA,No,No,No,60,NA,NA,NA,NA
FDA,CBoW768,768,NA,No,No,No,60,NA,NA,NA,NA
Tree,CBoW768,768,117.24804,No,No,No,60,0.5754,0.5741,0.5439,0.6062
RF,CBoW768,768,150903.3888,No,No,No,60,0.6205,0.6219,0.5906,0.6495
LogisticRegression,SG300,300,41.24066,Yes,Yes,Yes,0,0.5976,0.596,0.5751,0.6195
LDA,SG300,300,18.77006,Yes,Yes,Yes,0,0.5944,0.5932,0.5693,0.6189
QDA,SG300,300,11.11844,Yes,Yes,Yes,0,0.5849,0.6651,0.3214,0.842
MDA,SG300,300,212.7798,Yes,Yes,Yes,0,0.5846,0.5827,0.5599,0.6087
FDA,SG300,300,129.82278,Yes,Yes,Yes,0,0.5944,0.5959,0.5558,0.6321
Tree,SG300,300,30.12837,Yes,Yes,Yes,0,0.5488,0.5474,0.4997,0.5967
RF,SG300,300,35580.5892,Yes,Yes,Yes,0,0.5958,0.5943,0.5728,0.6184
LogisticRegression,SG300,300,41.75731,Yes,Yes,Yes,5,0.6246,0.6252,0.5996,0.649
LDA,SG300,300,19.28226,Yes,Yes,Yes,5,0.626,0.6267,0.6014,0.6501
QDA,SG300,300,11.19138,Yes,Yes,Yes,5,0.6113,0.6195,0.5529,0.6684
MDA,SG300,300,217.2792,Yes,Yes,Yes,5,0.6206,0.6145,0.6224,0.6187
FDA,SG300,300,128.142,Yes,Yes,Yes,5,0.5957,0.5918,0.5856,0.6056
Tree,SG300,300,30.05616,Yes,Yes,Yes,5,0.5631,0.5602,0.5383,0.5873
RF,SG300,300,35834.8932,Yes,Yes,Yes,5,0.6208,0.6145,0.6242,0.6176
LogisticRegression,SG300,300,39.12134,Yes,Yes,Yes,30,0.6135,0.6034,0.6306,0.597
LDA,SG300,300,19.03859,Yes,Yes,Yes,30,0.6133,0.6027,0.6323,0.5947
QDA,SG300,300,10.93701,Yes,Yes,Yes,30,0.6089,0.5938,0.6542,0.5648
MDA,SG300,300,184.3749,Yes,Yes,Yes,30,0.5995,0.5888,0.6223,0.5774
FDA,SG300,300,120.18906,Yes,Yes,Yes,30,0.5989,0.5897,0.6128,0.5855
Tree,SG300,300,28.81511,Yes,Yes,Yes,30,0.5671,0.5603,0.5666,0.5676
RF,SG300,300,34887.5964,Yes,Yes,Yes,30,0.6197,0.6228,0.5796,0.6586
LogisticRegression,SG300,300,37.82854,Yes,Yes,Yes,60,0.6069,0.5956,0.608,0.606
LDA,SG300,300,18.33715,Yes,Yes,Yes,60,0.6069,0.5961,0.6049,0.6089
QDA,SG300,300,10.60467,Yes,Yes,Yes,60,0.5953,0.5745,0.6606,0.533
MDA,SG300,300,172.23642,Yes,Yes,Yes,60,0.6016,0.5905,0.6006,0.6025
FDA,SG300,300,115.68306,Yes,Yes,Yes,60,0.5905,0.5741,0.6257,0.5569
Tree,SG300,300,28.77026,Yes,Yes,Yes,60,0.5762,0.5683,0.5498,0.6013
RF,SG300,300,34644.2724,Yes,Yes,Yes,60,0.6072,0.609,0.5468,0.6649
LogisticRegression,SG300,300,39.28118,Yes,Yes,No,0,0.5984,0.5974,0.5733,0.6229
LDA,SG300,300,17.99846,Yes,Yes,No,0,0.6008,0.6005,0.5728,0.6281
QDA,SG300,300,10.74845,Yes,Yes,No,0,0.5935,0.6444,0.3951,0.7872
MDA,SG300,300,195.03276,Yes,Yes,No,0,0.5947,0.593,0.5722,0.6167
FDA,SG300,300,112.99296,Yes,Yes,No,0,0.5803,0.5836,0.5243,0.6349
Tree,SG300,300,27.92276,Yes,Yes,No,0,0.5563,0.5515,0.5447,0.5676
RF,SG300,300,35311.8888,Yes,Yes,No,0,0.6033,0.6047,0.5687,0.6372
LogisticRegression,SG300,300,39.92589,Yes,Yes,No,5,0.6099,0.604,0.6108,0.609
LDA,SG300,300,19.76748,Yes,Yes,No,5,0.6079,0.6028,0.6049,0.6107
QDA,SG300,300,10.43119,Yes,Yes,No,5,0.6148,0.6151,0.5885,0.6404
MDA,SG300,300,204.39252,Yes,Yes,No,5,0.5998,0.5931,0.6049,0.5947
FDA,SG300,300,116.47404,Yes,Yes,No,5,0.5856,0.5826,0.5687,0.6022
Tree,SG300,300,29.93385,Yes,Yes,No,5,0.5539,0.5653,0.4202,0.6844
RF,SG300,300,34970.8572,Yes,Yes,No,5,0.622,0.6195,0.609,0.6347
LogisticRegression,SG300,300,40.98185,Yes,Yes,No,30,0.618,0.6089,0.6308,0.6055
LDA,SG300,300,19.86377,Yes,Yes,No,30,0.6122,0.6026,0.6279,0.5969
QDA,SG300,300,10.41186,Yes,Yes,No,30,0.6174,0.6019,0.6627,0.5733
MDA,SG300,300,183.0288,Yes,Yes,No,30,0.6058,0.6012,0.5966,0.6147
FDA,SG300,300,130.8024,Yes,Yes,No,30,0.5897,0.5785,0.6202,0.5601
Tree,SG300,300,30.79527,Yes,Yes,No,30,0.5618,0.559,0.5286,0.594
RF,SG300,300,36775.8,Yes,Yes,No,30,0.6148,0.6271,0.5405,0.6872
LogisticRegression,SG300,300,39.32332,Yes,Yes,No,60,0.613,0.6052,0.5996,0.6258
LDA,SG300,300,19.59782,Yes,Yes,No,60,0.6166,0.6087,0.6039,0.6287
QDA,SG300,300,10.28434,Yes,Yes,No,60,0.6008,0.584,0.6379,0.5654
MDA,SG300,300,177.14904,Yes,Yes,No,60,0.6017,0.5906,0.6039,0.5997
FDA,SG300,300,112.887,Yes,Yes,No,60,0.589,0.5777,0.5917,0.5863
Tree,SG300,300,29.38198,Yes,Yes,No,60,0.5521,0.5477,0.4818,0.6194
RF,SG300,300,36188.1,Yes,Yes,No,60,0.6157,0.6241,0.5377,0.6903
LogisticRegression,SG300,300,64.3617,Yes,No,Yes,0,0.5973,0.5953,0.5769,0.6172
LDA,SG300,300,25.92204,Yes,No,Yes,0,0.5944,0.5942,0.564,0.6241
QDA,SG300,300,15.16045,Yes,No,Yes,0,0.5811,0.6693,0.3004,0.8551
MDA,SG300,300,323.69424,Yes,No,Yes,0,0.5909,0.591,0.5582,0.6229
FDA,SG300,300,206.20662,Yes,No,Yes,0,0.5762,0.5779,0.5266,0.6246
Tree,SG300,300,45.50352,Yes,No,Yes,0,0.5537,0.5853,0.3308,0.7712
RF,SG300,300,50025.024,Yes,No,Yes,0,0.5999,0.6025,0.5582,0.6406
LogisticRegression,SG300,300,46.09183,Yes,No,Yes,5,0.6143,0.6101,0.6072,0.6212
LDA,SG300,300,18.36202,Yes,No,Yes,5,0.6129,0.6091,0.6037,0.6218
QDA,SG300,300,10.34337,Yes,No,Yes,5,0.6083,0.6117,0.5663,0.6492
MDA,SG300,300,233.19072,Yes,No,Yes,5,0.6097,0.6058,0.6008,0.6184
FDA,SG300,300,146.49684,Yes,No,Yes,5,0.5742,0.5673,0.5815,0.567
Tree,SG300,300,30.12811,Yes,No,Yes,5,0.5606,0.5617,0.5026,0.6172
RF,SG300,300,34704.9612,Yes,No,Yes,5,0.6074,0.6064,0.5845,0.6298
LogisticRegression,SG300,300,40.50635,Yes,No,Yes,30,0.6055,0.5983,0.6102,0.6008
LDA,SG300,300,19.4637,Yes,No,Yes,30,0.6057,0.5985,0.6108,0.6008
QDA,SG300,300,9.724492,Yes,No,Yes,30,0.6147,0.5998,0.659,0.5716
MDA,SG300,300,192.0066,Yes,No,Yes,30,0.604,0.5961,0.6126,0.5956
FDA,SG300,300,122.02206,Yes,No,Yes,30,0.5968,0.5885,0.6079,0.5859
Tree,SG300,300,30.52741,Yes,No,Yes,30,0.5651,0.556,0.5897,0.5412
RF,SG300,300,36224.388,Yes,No,Yes,30,0.6139,0.6208,0.5591,0.6672
LogisticRegression,SG300,300,38.60825,Yes,No,Yes,60,0.5976,0.5885,0.6001,0.5952
LDA,SG300,300,18.50994,Yes,No,Yes,60,0.5961,0.586,0.6049,0.5877
QDA,SG300,300,9.22103,Yes,No,Yes,60,0.5876,0.5713,0.642,0.5352
MDA,SG300,300,183.65034,Yes,No,Yes,60,0.5908,0.5803,0.6025,0.5796
FDA,SG300,300,112.6707,Yes,No,Yes,60,0.5841,0.5734,0.5977,0.5709
Tree,SG300,300,28.36117,Yes,No,Yes,60,0.5577,0.5537,0.5117,0.6021
RF,SG300,300,34290.8244,Yes,No,Yes,60,0.609,0.612,0.5571,0.6592
LogisticRegression,SG300,300,39.23252,Yes,No,No,0,0.5918,0.5894,0.5722,0.611
LDA,SG300,300,18.71718,Yes,No,No,0,0.5947,0.5938,0.5681,0.6207
QDA,SG300,300,9.326554,Yes,No,No,0,0.593,0.6627,0.3583,0.822
MDA,SG300,300,200.9427,Yes,No,No,0,0.6031,0.6032,0.5739,0.6315
FDA,SG300,300,114.44868,Yes,No,No,0,0.5785,0.5719,0.5833,0.5739
Tree,SG300,300,28.39244,Yes,No,No,0,0.5505,0.5477,0.5167,0.5836
RF,SG300,300,34899.03,Yes,No,No,0,0.5964,0.5944,0.5757,0.6167
LogisticRegression,SG300,300,63.61326,Yes,No,No,5,0.5984,0.5913,0.6055,0.5916
LDA,SG300,300,25.8476,Yes,No,No,5,0.5961,0.5891,0.6026,0.5898
QDA,SG300,300,14.28192,Yes,No,No,5,0.6163,0.6137,0.6026,0.6298
MDA,SG300,300,279.0609,Yes,No,No,5,0.6005,0.5941,0.6032,0.5978
FDA,SG300,300,154.2897,Yes,No,No,5,0.5947,0.5897,0.5897,0.5995
Tree,SG300,300,42.30883,Yes,No,No,5,0.569,0.5769,0.4781,0.6577
RF,SG300,300,46635.228,Yes,No,No,5,0.6013,0.5993,0.5821,0.6201
LogisticRegression,SG300,300,39.73753,Yes,No,No,30,0.6261,0.6143,0.6504,0.6024
LDA,SG300,300,18.85499,Yes,No,No,30,0.6246,0.6126,0.6504,0.5995
QDA,SG300,300,9.365192,Yes,No,No,30,0.6058,0.5909,0.6533,0.5595
MDA,SG300,300,188.63778,Yes,No,No,30,0.6026,0.5922,0.6246,0.5812
FDA,SG300,300,114.0102,Yes,No,No,30,0.5991,0.5901,0.614,0.5847
Tree,SG300,300,28.46824,Yes,No,No,30,0.5864,0.5952,0.5053,0.6653
RF,SG300,300,35100.8352,Yes,No,No,30,0.6296,0.6325,0.5946,0.6636
LogisticRegression,SG300,300,38.86042,Yes,No,No,60,0.6068,0.5952,0.6236,0.5906
LDA,SG300,300,18.55485,Yes,No,No,60,0.6097,0.5983,0.6254,0.5946
QDA,SG300,300,9.219408,Yes,No,No,60,0.5922,0.5738,0.6599,0.5267
MDA,SG300,300,180.6522,Yes,No,No,60,0.6059,0.5939,0.6254,0.5871
FDA,SG300,300,112.88646,Yes,No,No,60,0.5717,0.5604,0.5938,0.5503
Tree,SG300,300,28.34847,Yes,No,No,60,0.5489,0.5368,0.5956,0.5037
RF,SG300,300,34432.542,Yes,No,No,60,0.6042,0.6107,0.5354,0.6705
LogisticRegression,SG300,300,39.89098,No,Yes,Yes,0,0.6158,0.6171,0.585,0.6458
LDA,SG300,300,18.95432,No,Yes,Yes,0,0.6135,0.615,0.5815,0.6446
QDA,SG300,300,9.404366,No,Yes,Yes,0,0.5918,0.6555,0.3659,0.8123
MDA,SG300,300,171.97578,No,Yes,Yes,0,0.6068,0.6069,0.5792,0.6338
FDA,SG300,300,115.35018,No,Yes,Yes,0,0.5855,0.5892,0.5307,0.6389
Tree,SG300,300,28.45006,No,Yes,Yes,0,0.5797,0.5885,0.4956,0.6617
RF,SG300,300,34980.1092,No,Yes,Yes,0,0.6224,0.6175,0.6189,0.6258
LogisticRegression,SG300,300,39.70687,No,Yes,Yes,5,0.6215,0.6205,0.602,0.6406
LDA,SG300,300,18.81304,No,Yes,Yes,5,0.6166,0.6158,0.595,0.6378
QDA,SG300,300,9.346851,No,Yes,Yes,5,0.6129,0.6155,0.5763,0.6486
MDA,SG300,300,171.05466,No,Yes,Yes,5,0.6143,0.6133,0.5932,0.6349
FDA,SG300,300,114.64638,No,Yes,Yes,5,0.5811,0.5785,0.5599,0.6018
Tree,SG300,300,28.58651,No,Yes,Yes,5,0.5777,0.5755,0.5523,0.6024
RF,SG300,300,34894.8756,No,Yes,Yes,5,0.6111,0.6045,0.6154,0.607
LogisticRegression,SG300,300,39.83773,No,Yes,Yes,30,0.6192,0.6133,0.6201,0.6184
LDA,SG300,300,18.88224,No,Yes,Yes,30,0.6175,0.6109,0.6213,0.6138
QDA,SG300,300,9.33303,No,Yes,Yes,30,0.6109,0.5995,0.6394,0.583
MDA,SG300,300,167.7942,No,Yes,Yes,30,0.5999,0.5943,0.5985,0.6013
FDA,SG300,300,115.28034,No,Yes,Yes,30,0.597,0.5912,0.5967,0.5973
Tree,SG300,300,28.06165,No,Yes,Yes,30,0.5621,0.5661,0.4857,0.6366
RF,SG300,300,34997.4144,No,Yes,Yes,30,0.6077,0.6016,0.609,0.6064
LogisticRegression,SG300,300,39.0354,No,Yes,Yes,60,0.6067,0.5988,0.617,0.5967
LDA,SG300,300,18.67192,No,Yes,Yes,60,0.6055,0.5973,0.6175,0.5938
QDA,SG300,300,9.269968,No,Yes,Yes,60,0.6053,0.591,0.6515,0.5602
MDA,SG300,300,160.26324,No,Yes,Yes,60,0.6067,0.5981,0.6205,0.5933
FDA,SG300,300,115.03278,No,Yes,Yes,60,0.6107,0.6043,0.6135,0.6081
Tree,SG300,300,28.21379,No,Yes,Yes,60,0.5859,0.603,0.4725,0.6965
RF,SG300,300,35142.3216,No,Yes,Yes,60,0.6232,0.6202,0.6111,0.6349
LogisticRegression,SG300,300,155.29194,No,Yes,No,0,0.6241,0.6237,0.6026,0.6452
LDA,SG300,300,35.22245,No,Yes,No,0,0.6218,0.6222,0.5967,0.6463
QDA,SG300,300,22.42646,No,Yes,No,0,0.61,0.6525,0.45,0.7661
MDA,SG300,300,374.23644,No,Yes,No,0,0.612,0.6122,0.585,0.6383
FDA,SG300,300,280.99236,No,Yes,No,0,0.5944,0.5904,0.5839,0.6047
Tree,SG300,300,45.15686,No,Yes,No,0,0.5684,0.5646,0.5517,0.5847
RF,SG300,300,58608.288,No,Yes,No,0,0.6152,0.6103,0.6113,0.6189
LogisticRegression,SG300,300,39.67353,No,Yes,No,5,0.625,0.6216,0.6154,0.6343
LDA,SG300,300,18.85724,No,Yes,No,5,0.6212,0.6184,0.609,0.6332
QDA,SG300,300,9.35201,No,Yes,No,5,0.6155,0.6075,0.6259,0.6052
MDA,SG300,300,168.68214,No,Yes,No,5,0.6166,0.6113,0.6148,0.6184
FDA,SG300,300,114.6543,No,Yes,No,5,0.608,0.6055,0.5921,0.6235
Tree,SG300,300,28.20563,No,Yes,No,5,0.569,0.5567,0.6254,0.514
RF,SG300,300,34905.0816,No,Yes,No,5,0.6204,0.6147,0.6201,0.6207
LogisticRegression,SG300,300,42.58477,No,Yes,No,30,0.623,0.617,0.6242,0.6218
LDA,SG300,300,18.58179,No,Yes,No,30,0.6218,0.6154,0.6248,0.6189
QDA,SG300,300,9.238414,No,Yes,No,30,0.608,0.5966,0.6371,0.5796
MDA,SG300,300,163.67544,No,Yes,No,30,0.6085,0.6005,0.6201,0.5973
FDA,SG300,300,114.6582,No,Yes,No,30,0.5918,0.5855,0.5944,0.5893
Tree,SG300,300,28.12134,No,Yes,No,30,0.586,0.5726,0.6382,0.5351
RF,SG300,300,34877.7108,No,Yes,No,30,0.6097,0.6053,0.6032,0.6161
LogisticRegression,SG300,300,39.47102,No,Yes,No,60,0.6117,0.6039,0.6219,0.6018
LDA,SG300,300,18.69221,No,Yes,No,60,0.6103,0.6017,0.6242,0.5967
QDA,SG300,300,9.366313,No,Yes,No,60,0.5924,0.5804,0.6306,0.555
MDA,SG300,300,163.42848,No,Yes,No,60,0.6083,0.5988,0.6271,0.5898
FDA,SG300,300,114.91194,No,Yes,No,60,0.5947,0.5858,0.6125,0.5773
Tree,SG300,300,28.432,No,Yes,No,60,0.5713,0.5711,0.5307,0.611
RF,SG300,300,35004.132,No,Yes,No,60,0.6175,0.6135,0.6096,0.6252
LogisticRegression,SG300,300,39.01391,No,No,Yes,0,0.6071,0.607,0.5804,0.6332
LDA,SG300,300,18.67986,No,No,Yes,0,0.6083,0.6079,0.5827,0.6332
QDA,SG300,300,9.373021,No,No,Yes,0,0.5944,0.6771,0.3419,0.8408
MDA,SG300,300,171.11076,No,No,Yes,0,0.601,0.6007,0.5733,0.6281
FDA,SG300,300,114.17064,No,No,Yes,0,0.5889,0.591,0.5447,0.6321
Tree,SG300,300,28.32208,No,No,Yes,0,0.5606,0.5649,0.481,0.6383
RF,SG300,300,34861.86,No,No,Yes,0,0.6109,0.606,0.6067,0.6149
LogisticRegression,SG300,300,39.78282,No,No,Yes,5,0.6204,0.6183,0.6049,0.6355
LDA,SG300,300,18.82142,No,No,Yes,5,0.6186,0.6162,0.6043,0.6326
QDA,SG300,300,9.470724,No,No,Yes,5,0.614,0.6132,0.5921,0.6355
MDA,SG300,300,167.03022,No,No,Yes,5,0.6111,0.6086,0.5961,0.6258
FDA,SG300,300,116.14812,No,No,Yes,5,0.5886,0.5815,0.5961,0.5813
Tree,SG300,300,28.46262,No,No,Yes,5,0.5751,0.5608,0.6447,0.5071
RF,SG300,300,35002.9116,No,No,Yes,5,0.6152,0.611,0.6078,0.6224
LogisticRegression,SG300,300,39.16841,No,No,Yes,30,0.6286,0.6238,0.6246,0.6326
LDA,SG300,300,18.66461,No,No,Yes,30,0.6263,0.6212,0.6234,0.6292
QDA,SG300,300,9.352567,No,No,Yes,30,0.6165,0.6047,0.645,0.5887
MDA,SG300,300,166.2954,No,No,Yes,30,0.6278,0.623,0.6234,0.6321
FDA,SG300,300,114.47346,No,No,Yes,30,0.6133,0.6059,0.6205,0.6064
Tree,SG300,300,28.23738,No,No,Yes,30,0.5824,0.5814,0.5515,0.6127
RF,SG300,300,34808.8932,No,No,Yes,30,0.618,0.6147,0.6064,0.6292
LogisticRegression,SG300,300,39.75519,No,No,Yes,60,0.6253,0.6155,0.6425,0.6084
LDA,SG300,300,18.78862,No,No,Yes,60,0.6273,0.617,0.6466,0.6084
QDA,SG300,300,9.399674,No,No,Yes,60,0.6102,0.5963,0.6524,0.5691
MDA,SG300,300,166.99488,No,No,Yes,60,0.6232,0.6147,0.6349,0.6119
FDA,SG300,300,114.97914,No,No,Yes,60,0.6123,0.602,0.6337,0.5913
Tree,SG300,300,29.00778,No,No,Yes,60,0.5796,0.5878,0.4974,0.6598
RF,SG300,300,35065.2996,No,No,Yes,60,0.6307,0.6264,0.6249,0.6364
LogisticRegression,SG300,300,69.32442,No,No,No,0,0.6143,0.6127,0.5956,0.6326
LDA,SG300,300,32.60665,No,No,No,0,0.6166,0.6157,0.5956,0.6372
QDA,SG300,300,15.91388,No,No,No,0,0.6051,0.6575,0.4185,0.7872
MDA,SG300,300,300.63636,No,No,No,0,0.6137,0.6117,0.5967,0.6303
FDA,SG300,300,230.36592,No,No,No,0,0.5886,0.5831,0.5862,0.591
Tree,SG300,300,41.68518,No,No,No,0,0.5739,0.5797,0.4997,0.6463
RF,SG300,300,48960.432,No,No,No,0,0.6149,0.6108,0.6072,0.6224
LogisticRegression,SG300,300,72.86124,No,No,No,5,0.6158,0.6146,0.5956,0.6355
LDA,SG300,300,34.40821,No,No,No,5,0.6161,0.6141,0.5991,0.6326
QDA,SG300,300,18.14208,No,No,No,5,0.6031,0.5932,0.6248,0.5819
MDA,SG300,300,322.383,No,No,No,5,0.6111,0.6071,0.6032,0.6189
FDA,SG300,300,363.38442,No,No,No,5,0.5987,0.5905,0.6119,0.5859
Tree,SG300,300,50.52811,No,No,No,5,0.5996,0.5713,0.5149,0.6229
RF,SG300,300,55273.5,No,No,No,5,0.6201,0.6127,0.6277,0.6127
LogisticRegression,SG300,300,117.32574,No,No,No,30,0.6224,0.6144,0.6324,0.6127
LDA,SG300,300,44.41529,No,No,No,30,0.6247,0.6153,0.6411,0.60873
QDA,SG300,300,28.21001,No,No,No,30,0.6062,0.5933,0.6447,0.5687
MDA,SG300,300,470.14776,No,No,No,30,0.6143,0.6055,0.6289,0.6001
FDA,SG300,300,393.35292,No,No,No,30,0.5973,0.5909,0.6002,0.5944
Tree,SG300,300,62.87178,No,No,No,30,0.5621,0.5584,0.5418,0.5819
RF,SG300,300,65381.976,No,No,No,30,0.6201,0.6167,0.6102,0.6298
LogisticRegression,SG300,300,61.04508,No,No,No,60,0.6147,0.6084,0.617,0.6124
LDA,SG300,300,35.42064,No,No,No,60,0.6155,0.609,0.6193,0.6119
QDA,SG300,300,11.03013,No,No,No,60,0.6103,0.5971,0.6491,0.5725
MDA,SG300,300,171.88794,No,No,No,60,0.6199,0.6114,0.6322,0.6079
FDA,SG300,300,114.29934,No,No,No,60,0.595,0.5878,0.6029,0.5873
Tree,SG300,300,33.70018,No,No,No,60,0.5699,0.5538,0.6649,0.4772
RF,SG300,300,38346.948,No,No,No,60,0.6285,0.6307,0.5982,0.6581
LogisticRegression,SG200,200,11.88961,Yes,Yes,Yes,0,0.5947,0.5941,0.5663,0.6224
LDA,SG200,200,10.23297,Yes,Yes,Yes,0,0.5938,0.5952,0.5552,0.6315
QDA,SG200,200,6.255881,Yes,Yes,Yes,0,0.5727,0.6446,0.301,0.838
MDA,SG200,200,122.87754,Yes,Yes,Yes,0,0.5935,0.5961,0.5494,0.6366
FDA,SG200,200,84.55602,Yes,Yes,Yes,0,0.5667,0.5739,0.4763,0.6549
Tree,SG200,200,19.33069,Yes,Yes,Yes,0,0.5696,0.5606,0.5944,0.5454
RF,SG200,200,24191.6796,Yes,Yes,Yes,0,0.6008,0.6031,0.5605,0.64
LogisticRegression,SG200,200,11.60286,Yes,Yes,Yes,5,0.6105,0.6076,0.5973,0.6233
LDA,SG200,200,10.06235,Yes,Yes,Yes,5,0.6087,0.6052,0.5985,0.6187
QDA,SG200,200,6.020889,Yes,Yes,Yes,5,0.6151,0.6181,0.578,0.6513
MDA,SG200,200,112.88028,Yes,Yes,Yes,5,0.6084,0.6036,0.6043,0.6124
FDA,SG200,200,81.68988,Yes,Yes,Yes,5,0.583,0.5767,0.5868,0.5793
Tree,SG200,200,19.40539,Yes,Yes,Yes,5,0.5591,0.5558,0.5359,0.5816
